#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89145.8946415	295.386951267	0
100000	-88936.1038522	296.390088665	244
150000	-89056.4261854	301.522149635	244
200000	-89150.5611083	297.360933096	244
250000	-88335.3014688	299.935850803	244
300000	-89267.6426768	294.933284382	244
350000	-89049.9800309	301.015425751	244
400000	-89285.2635921	300.401157193	244
450000	-88734.3860841	296.377938187	244
500000	-89390.8359976	297.584042897	244
550000	-89715.9107833	292.452551538	244
600000	-89691.4714259	295.383645991	244
650000	-89289.1327704	302.633442977	244
700000	-89410.816976	302.955947271	244
750000	-88848.4592768	303.821266025	243
800000	-89635.3212976	297.469202868	243
850000	-89187.2158152	300.3173656	243
900000	-89410.2846252	299.358457159	243
950000	-89344.1730929	298.669828662	244
1000000	-88336.6151053	301.394941754	244
1050000	-89159.7641637	290.458258996	244
1100000	-89209.4545542	303.029200642	243
1150000	-88976.8428381	297.878010876	243
1200000	-89212.9628923	297.75295679	243
1250000	-88996.044499	299.457256933	244
1300000	-89140.8197688	301.657837477	243
1350000	-89483.9845118	296.427482554	243
1400000	-88946.3111518	298.628278562	243
1450000	-89005.0749466	298.84243917	243
1500000	-89461.4133356	299.693378087	243
1550000	-89545.9726771	298.852523804	243
1600000	-89368.1920842	304.866064339	243
1650000	-89525.977934	303.690061417	243
1700000	-89133.1924855	302.840801261	243
1750000	-89180.8598579	300.558128127	243
1800000	-88915.7503467	298.340925246	243
1850000	-88991.5504453	294.927273729	243
1900000	-89288.9893319	308.241908801	243
1950000	-89091.827848	293.231196029	243
2000000	-89360.946418	298.045578216	243
2050000	-89514.9188503	295.456784883	243
2100000	-88928.1033413	306.953738498	243
2150000	-89312.4303806	298.050910403	243
2200000	-88749.2643507	299.776444955	244
2250000	-89258.162148	297.537183142	244
2300000	-89245.7130266	301.899787014	244
2350000	-89128.8512748	305.090574931	244
2400000	-89194.1944123	295.528228939	244
2450000	-89495.8076339	301.820388857	244
2500000	-89452.2612682	298.082446767	244
