#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
50000	-89192.0813668	300.148155721	0
100000	-89475.3235075	298.075189602	242
150000	-88653.3141863	298.029906097	242
200000	-89120.4873174	301.717525482	242
250000	-89048.360324	297.460557144	242
300000	-88683.8290669	299.69801836	242
350000	-88763.7153227	306.122489876	242
400000	-88809.4715507	304.058146674	242
450000	-88968.8580049	300.38464144	242
500000	-88861.1155682	298.86138183	242
550000	-89156.8594395	300.345608258	242
600000	-88863.3876112	296.311821359	242
650000	-89272.3495208	300.373725454	242
700000	-89492.7899377	303.137357731	242
750000	-89313.099762	295.129147837	242
800000	-88970.6439434	299.448410889	242
850000	-89392.7167843	302.242790862	242
900000	-88884.5937276	300.186252873	242
950000	-88249.5028438	296.512189968	242
1000000	-89171.7974847	296.65122576	242
1050000	-89107.5723745	293.671585645	242
1100000	-88764.4514999	298.968332524	242
1150000	-89047.805326	298.939372398	242
1200000	-88313.1357004	305.395286098	242
1250000	-88791.1638066	301.017440857	242
1300000	-88858.3200405	301.335622525	242
1350000	-89284.2246801	300.489949992	242
1400000	-89156.7807196	306.861765269	242
1450000	-88569.4876843	302.015852927	242
1500000	-89196.4429982	303.134251537	242
1550000	-89174.2667943	297.827518856	242
1600000	-88810.8979342	301.721827883	242
1650000	-88874.7960605	296.777725276	242
1700000	-89019.2472025	299.60815803	242
1750000	-89223.7641812	294.614231404	242
1800000	-89358.702262	304.63563028	242
1850000	-89049.6896417	300.915369693	242
1900000	-88908.1182525	300.84296343	242
1950000	-88669.7802242	305.994077449	242
2000000	-88923.241776	300.366897451	242
2050000	-89063.1600892	296.719459431	242
2100000	-88863.5233304	302.319727516	242
2150000	-89177.4467706	296.169126948	242
2200000	-88902.9527722	303.413023749	242
2250000	-88562.4062206	304.054958034	242
2300000	-89153.6841353	299.367942312	242
2350000	-88891.3536749	300.037964495	242
2400000	-89110.8812995	295.783668035	242
2450000	-89078.2632371	302.151742552	242
2500000	-88971.179852	302.007607552	242
